id,idade,genero,cor_raca_etnia,pcd,vive_no_brasil,estado_onde_mora,uf_onde_mora,regiao_onde_mora,regiao_de_origem,nivel_ensino,area_de_formacao,situacao_atual_de_trabalho,setor,gestor,cargo_como_gestor,cargo_atual,nivel_senioridade,faixa_salarial,anos_experiencia_na_area_dados,anos_experiencia_anterior_ti,linguagens_no_trabalho,linguagem_preferida,bancos_de_dados_no_trabalho,cloud_no_trabalho,cloud_preferida
xt41waqp9oc3bdq5nlrfzxt41waqglwj,29,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,de 7 a 10 anos,"SQL, Python",Python,"Oracle, Presto, Neo4J, HBase, Firebase, Google BigQuery, Elaticsearch, Snowflake, SQLite, DynamoDB, Redis, Amazon Aurora ou RDS, MySQL, Amazon Athena, Amazon Redshift, MongoDB, SQL SERVER, Hive, S3","Amazon Web Services (AWS), Google Cloud (GCP)",Google Cloud (GCP)
xt41u0apda4foh290xt41djickgiwsh5,26,Masculino,Branca,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Varejo,TRUE,Supervisor/Coordenador,,,de R$ 12.001/mês a R$ 16.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,
xsb85idkhny4uzgt2xsb871jt3oit2r7,29,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,Nordeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,"Desempregado, buscando recolocação",,,,,,,,,,,,,
xs9ul8lbh87481ybc1mklaxs9ul8lbwe,37,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Área da Saúde,TRUE,Gerente/Head,,,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,de 1 a 2 anos,,,,,
xs3k50283nz4p95w4jg0zxs3k50gtv2n,31,Masculino,Preta,Não,TRUE,Ceará (CE),CE,Nordeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor de Energia,FALSE,,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 6 anos,de 3 a 4 anos,"SQL, Python, JavaScript",Python,"DynamoDB, SQL SERVER","Amazon Web Services (AWS), Azure (Microsoft)",Amazon Web Services (AWS)
xrwneb0qg2ofx4zahcxrwneb0dsvox0h,29,Feminino,Outra,Não,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,
xqig3mn8b5bo1505yjwmxqig3m4r59b7,25,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,Sudeste,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Tecnologia/Fábrica de Software,FALSE,,Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Júnior,de R$ 2.001/mês a R$ 3.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não utilizo nenhuma das linguagens listadas,Python,"PostgreSQL, MySQL",Servidores On Premise/Não utilizamos Cloud,Google Cloud (GCP)
xq98p7mg6i96lxf8xq98nhkvenb06igd,27,Masculino,Branca,Não,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Internet/Ecommerce,TRUE,Gerente/Head,,,de R$ 25.001/mês a R$ 30.000/mês,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,
xq3hg4q55lakpm4ep4yxq305pcs8mcbk,29,Feminino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,FALSE,,Analista de Negócios/Business Analyst,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,de 3 a 4 anos,SQL,SQL,Databricks,Servidores On Premise/Não utilizamos Cloud,Amazon Web Services (AWS)
xq20u8q56cz4e51x2yx0azxq20u85l81,42,Masculino,Parda,Não,TRUE,Bahia (BA),BA,Nordeste,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Mais de 10 anos,"SQL, Python",Python,"Sybase, PostgreSQL, SQL SERVER",Servidores On Premise/Não utilizamos Cloud,Não sei opinar
xq0gy45eoc97mendf5e6xq0gy4525guy,32,Masculino,Branca,Não,FALSE,,,,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Trabalho na área Acadêmica/Pesquisador,,,,,,,,,,,,,
xpzvi58uxbjrmxkzibmhqxpzee8xnxi8,45,Feminino,Branca,Não,TRUE,Distrito Federal (DF),DF,Centro-oeste,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Setor Público,FALSE,,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Mais de 10 anos,SQL,Python,SQL SERVER,Azure (Microsoft),Azure (Microsoft)
xpqooiaym7ujsh5nzf59hxpqooiatdpa,38,Masculino,Branca,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Educação,TRUE,Supervisor/Coordenador,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,
xpjhp3dfe5bnbej4350uvjxpjhpa88ax,41,Masculino,Branca,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Não tenho graduação formal,,"Desempregado, buscando recolocação",,,,,,,,,,,,,
xpi6lgrbt1kwn0u14lkldfxpi6lgrb0l,26,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,FALSE,,Analista de Dados/Data Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 3 a 4 anos,Menos de 1 ano,Não utilizo nenhuma das linguagens listadas,Python,Nenhuma,Nenhuma,Não sei opinar
xp36dlp18xxhpykwugxp36d2nk0nozt8,,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,"Desempregado, buscando recolocação",,,,,,,,,,,,,
xp2mwdxm62klrnab3xp26war4r3f2x8h,28,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 6 anos,de 1 a 2 anos,"SQL, SAS/Stata, Python",Python,"Hive, Teradata",Servidores On Premise/Não utilizamos Cloud,Não sei opinar
xowbw1gex6vrlqhsaxowbw6eigu4r0hm,23,Masculino,Branca,Não,TRUE,Rio Grande do Sul (RS),RS,Sul,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Área de Consultoria,FALSE,,Analista de Dados/Data Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python, SAS/Stata",Python,SQL SERVER,"Azure (Microsoft), Oracle Cloud",Azure (Microsoft)
xoo5vno9fvh4tjut8bzbjtxoo5vno9xy,25,Masculino,Parda,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Varejo,FALSE,,Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Menos de 1 ano,"Python, SQL",C/C++/C#,PostgreSQL,Servidores On Premise/Não utilizamos Cloud,Não sei opinar
xof93twzxwopdyz0xof9yanxyhwypa98,38,Masculino,Branca,Não,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Empreendedor ou Empregado (CNPJ),Área de Consultoria,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",Python,"MySQL, S3, Amazon Aurora ou RDS, SQL SERVER, Databricks, PostgreSQL",Amazon Web Services (AWS),Amazon Web Services (AWS)
