id,idade,genero,cor_raca_etnia,pcd,vive_no_brasil,estado_onde_mora,uf_onde_mora,regiao_onde_mora,regiao_de_origem,nivel_ensino,area_de_formacao,situacao_atual_de_trabalho,setor,gestor,cargo_como_gestor,cargo_atual,nivel_senioridade,faixa_salarial,anos_experiencia_na_area_dados,anos_experiencia_anterior_ti,linguagens_no_trabalho,linguagem_preferida,bancos_de_dados_no_trabalho,cloud_no_trabalho,cloud_preferida
zzqzz3l9ily8nuo2m7wyzzqzz3w48o96,39,Masculino,Parda,Não,TRUE,Distrito Federal (DF),DF,Centro-oeste,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Setor Público,FALSE,,DBA/Administrador de Banco de Dados,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,de 7 a 10 anos,SQL,R,"PostgreSQL, Oracle, MySQL, SQL SERVER","Azure (Microsoft), Cloud Própria",Amazon Web Services (AWS)
zzls2oftfn9law393oezzls2ofhvfpzd,32,Masculino,Parda,Não,TRUE,Pará (PA),PA,Norte,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Outra Opção,TRUE,Supervisor/Coordenador,,,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Menos de 1 ano,,,,,
zzdwqzfqqp1ypc7ps6m0hzzdwqz292yi,53,Masculino,Branca,Não,TRUE,Distrito Federal (DF),DF,Centro-oeste,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,FALSE,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Mais de 10 anos,"Python, JavaScript",Python,"PostgreSQL, MySQL, Oracle, DB2",Cloud Própria,Amazon Web Services (AWS)
zzbqh3uy7yk7k9qmkzzbqtb4s9faqspl,27,Masculino,Branca,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Setor Automotivo,FALSE,,Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, R, Python",Python,Google BigQuery,"Google Cloud (GCP), Azure (Microsoft)",Não sei opinar
zzaf1m95yan929rb94wzzaf1mekhvhpg,46,Feminino,Branca,Não,TRUE,Pará (PA),PA,Norte,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Setor Público,FALSE,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Não tenho experiência na área de dados,Mais de 10 anos,SQL,Python,Microsoft Access,Google Cloud (GCP),Amazon Web Services (AWS)
zz0nlhbd8oxyiyxzz0nlh7g4xkiaza5v,32,Feminino,Parda,Não,TRUE,Ceará (CE),CE,Nordeste,,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Servidor Público,Educação,FALSE,,Professor,Pleno,de R$ 2.001/mês a R$ 3.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não utilizo nenhuma das linguagens listadas,Python,Google BigQuery,Google Cloud (GCP),Google Cloud (GCP)
zytlxsdgalh22cgrijvzytlxa49i8yzx,21,Masculino,Parda,Não,TRUE,São Paulo (SP),SP,Sudeste,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,FALSE,,Analista de BI/BI Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Menos de 1 ano,"SQL, Python, SAS/Stata",Python,SQL SERVER,"Servidores On Premise/Não utilizamos Cloud, Cloud Própria",Não sei opinar
zyc0twzno2sm5or5ovoxzyc0twz0300d,31,Feminino,Branca,Não,TRUE,Rio Grande do Sul (RS),RS,Sul,,Graduação/Bacharelado,Ciências Sociais,Empregado (CLT),Tecnologia/Fábrica de Software,FALSE,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Menos de 1 ano,"SQL, JavaScript",Python,"PostgreSQL, SQLite, Amazon Athena",Amazon Web Services (AWS),Amazon Web Services (AWS)
zy4o5dk6iuxpdwgzy4o58xvd6ykwohrj,33,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Tecnologia/Fábrica de Software,FALSE,,Analista de BI/BI Analyst,Sênior,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Visual Basic/VBA",Python,Google BigQuery,Google Cloud (GCP),Google Cloud (GCP)
zxc3d314cn1c2ovmzxc34ha7nkw1na3j,,Feminino,Parda,Não,TRUE,Bahia (BA),BA,Nordeste,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Educação,FALSE,,Professor,Pleno,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,SQL,R,SQL SERVER,Google Cloud (GCP),Google Cloud (GCP)
zwy34gktg0tfjq2ttjvazwy34gg3g49i,25,Feminino,Parda,Não,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Varejo,FALSE,,Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,SQL,Python,SQL SERVER,Servidores On Premise/Não utilizamos Cloud,Não sei opinar
zwvpu2ssr2cr6g2jyzwvpu2dl5nfwa1f,33,Masculino,Branca,Não,TRUE,Rio Grande do Sul (RS),RS,Sul,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Educação,FALSE,,Analista de Inteligência de Mercado/Market Intelligence,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, R, Python",Python,"MySQL, PostgreSQL, SQL SERVER",Azure (Microsoft),Azure (Microsoft)
zwr9hqcpg513kaopenzwr9hibaqmldto,31,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,Nordeste,Doutorado ou Phd,Outras Engenharias,Trabalho na área Acadêmica/Pesquisador,,,,,,,,,,,,,
zwh83jpy6x40b95xigsr2zwh83jpflu3,24,Masculino,Amarela,Não,TRUE,Mato Grosso do Sul (MS),MS,Centro-oeste,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,FALSE,,Analista de Negócios/Business Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Menos de 1 ano,"SQL, Python",Python,"SQL SERVER, Hive, PostgreSQL, Splunk, Databricks",Azure (Microsoft),Azure (Microsoft)
zwez49k0jhdvfkfst4zwef137uuf4ivy,35,Feminino,Parda,Não,TRUE,São Paulo (SP),SP,Sudeste,,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Empregado (CLT),Varejo,FALSE,,Analista de Negócios/Business Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,SQL,Python,SQL SERVER,Google Cloud (GCP),Google Cloud (GCP)
zwb0kt7a8k0zwizwb0jgc78ez6e8j5iu,28,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Varejo,FALSE,,Analista de BI/BI Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python, Visual Basic/VBA",Python,"MySQL, Oracle, Google BigQuery",Google Cloud (GCP),Google Cloud (GCP)
zwa1ilib041boopgo02awzwa1otup3fe,31,Masculino,Parda,Não,TRUE,Paraíba (PB),PB,Nordeste,,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,TRUE,Supervisor/Coordenador,,,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,
zw0x7ftf1pt8b469l86vswzzw0x7ftfq,29,Masculino,Branca,Não,TRUE,Mato Grosso (MT),MT,Centro-oeste,,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Servidor Público,Setor Público,TRUE,Team Leader/Tech Leader,,,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,
zvxmpvomdin7czvxmitgmiu47m41ydje,28,Masculino,Branca,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,de 1 a 2 anos,"SQL, Python, SAS/Stata",Python,"Oracle, MongoDB, PostgreSQL, Databricks, Hive","Azure (Microsoft), Servidores On Premise/Não utilizamos Cloud",Amazon Web Services (AWS)
zvqn9oqa49zuuuvl6zvqn9gxfr6ac8ni,26,Feminino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,FALSE,,Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Menos de 1 ano,"SQL, Python",Python,Google BigQuery,Google Cloud (GCP),Google Cloud (GCP)
zvjk79wmrtb6zvz96nnjbfcx2xzlozg6,37,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Pós-graduação,Outras Engenharias,Empregado (CLT),Área da Saúde,TRUE,Gerente/Head,,,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,
zvc2hv0g7m97pxuh6aizvc2hv02r4xn9,33,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Outra Opção,TRUE,Supervisor/Coordenador,,,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,
zvbf0exhvvdw6mmk9zvbfqay7v19tz4a,26,Masculino,Branca,Não,TRUE,Paraná (PR),PR,Sul,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Farmaceutico,FALSE,,Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,de 1 a 2 anos,"SQL, Python",Python,"Google BigQuery, DynamoDB",Google Cloud (GCP),Google Cloud (GCP)
zuqfcwtl9unfc5ezuqfcwm8coytsp5ap,46,Feminino,Branca,Não,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,de 5 a 6 anos,"SQL, Python",Python,"MongoDB, DB2, Databricks, Microsoft Access, SQL SERVER, MariaDB, Oracle, MySQL",Azure (Microsoft),Azure (Microsoft)
zuojuxpeweah994w947zuojuxpoup3nj,34,Masculino,Parda,Não,TRUE,São Paulo (SP),SP,Sudeste,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Tecnologia/Fábrica de Software,TRUE,Supervisor/Coordenador,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,de 5 a 6 anos,,,,,
zuhhq9fel0z0pvqp40zuhv08csrove98,27,Feminino,Parda,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,FALSE,,Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",Python,"Amazon Athena, Amazon Redshift, Databricks, MySQL, S3",Amazon Web Services (AWS),Amazon Web Services (AWS)
zu96qz40o69j8a9imytvn9gzu96qz40t,25,Feminino,Parda,Não,TRUE,São Paulo (SP),SP,Sudeste,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,FALSE,,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não utilizo nenhuma das linguagens listadas,Python,SQL SERVER,Amazon Web Services (AWS),Não sei opinar
zu6e4ls6kqr66t0uzu6kekqq9jm4l34z,27,Feminino,Preta,Não,TRUE,Espírito Santo (ES),ES,Sudeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor de Energia,FALSE,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Menos de 1 ano,"SQL, Python",Python,"PostgreSQL, SQL SERVER, SQLite","Amazon Web Services (AWS), Google Cloud (GCP), Azure (Microsoft)",Google Cloud (GCP)
ztgepgj82o9oix0nztgepq2trcay6gpv,24,Feminino,Parda,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,"Desempregado, buscando recolocação",,,,,,,,,,,,,
ztbhv15fpds52sbni5ztbhs4omjmsq8t,25,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Varejo,FALSE,,Cientista de Dados/Data Scientist,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Python, SQL",Python,"Google BigQuery, Google Cloud Storage","Cloud Própria, Google Cloud (GCP)",Amazon Web Services (AWS)
zt5dof3zrmdbx6jwplibzt5dokirwt6g,26,Masculino,Parda,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,FALSE,,Analista de Dados/Data Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Menos de 1 ano,"R, SQL",R,MySQL,Azure (Microsoft),Azure (Microsoft)
zsymngsu1xbtuwwltj0exzsymng8gt8f,27,Masculino,Parda,Não,TRUE,Paraná (PR),PR,Sul,Nordeste,Pós-graduação,Outras Engenharias,Empregado (CLT),Área da Saúde,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python, R",Python,"Amazon Redshift, MongoDB, Amazon Aurora ou RDS","Azure (Microsoft), Amazon Web Services (AWS)",Não sei opinar
zstxl8za0hd5kdvb67n0e8zstxl8pw9q,29,Masculino,Preta,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Tecnologia/Fábrica de Software,FALSE,,Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Menos de 1 ano,"Python, SQL",Python,MySQL,.,Não sei opinar
zsgicyy2tvrg6o7nspzsgi3edewiosov,33,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,FALSE,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python, PHP, JavaScript",Python,"Microsoft Access, SQL SERVER",Nenhum,Não sei opinar
zsa9i6njd3e594mw0tvlk4zsa9iw86i9,24,Feminino,Branca,Não,TRUE,Distrito Federal (DF),DF,Centro-oeste,,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,"Desempregado, buscando recolocação",,,,,,,,,,,,,
zs18oj5xes1tol9ezs18agp86iyt8wb9,25,Masculino,Branca,Não,TRUE,Paraná (PR),PR,Sul,,Estudante de Graduação,Outras Engenharias,Estagiário,Marketing,FALSE,,Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Menos de 1 ano,"SQL, Python",Python,Google BigQuery,Google Cloud (GCP),Amazon Web Services (AWS)
zrzj2qf9hy82qhreqlp0xzrzj2qf9e1u,27,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Seguros ou Previdência,FALSE,,Analista de Negócios/Business Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não utilizo nenhuma das linguagens listadas,Python,MySQL,Amazon Web Services (AWS),Amazon Web Services (AWS)
zrhp1b3nf1vyxj7evey4yzrhp1b315mp,26,Masculino,Branca,Não,TRUE,Rio Grande do Sul (RS),RS,Sul,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",Python,ClickHouse,Google Cloud (GCP),Google Cloud (GCP)
zr7f2ykmr4ow6bu8zr7nyrdnjo5nfseb,31,Masculino,Preta,Não,TRUE,Rio Grande do Sul (RS),RS,Sul,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Área da Saúde,FALSE,,Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,de 3 a 4 anos,"SQL, Python, Visual Basic/VBA",Python,"Amazon Redshift, Oracle, PostgreSQL, Amazon Athena","Amazon Web Services (AWS), Oracle Cloud",Amazon Web Services (AWS)
zr4b2vm7dapp3linwqwn7zr4b2vmagqx,32,Masculino,Parda,Não,TRUE,Bahia (BA),BA,Nordeste,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,"Desempregado, buscando recolocação",,,,,,,,,,,,,
zr0j295ocn58xub84we8zr0j295brmte,40,Feminino,Parda,Não,TRUE,Bahia (BA),BA,Nordeste,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Servidor Público,Setor Público,FALSE,,Analista de Suporte/Analista Técnico,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não utilizo nenhuma das linguagens listadas,Python,Base de dados local,Cloud Própria,Não sei opinar
zqyjbvgkpzkdp6sgxzqyjh83rda63i0v,29,Masculino,Branca,Não,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Python, SQL",Python,"MongoDB, Redis, PostgreSQL, Elaticsearch, S3","Azure (Microsoft), Amazon Web Services (AWS)",Google Cloud (GCP)
zqhol9v9rfzzffnrspzqhol9vslt14g2,35,Masculino,Parda,Não,TRUE,Rio Grande do Sul (RS),RS,Sul,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Indústria,TRUE,Supervisor/Coordenador,,,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,de 3 a 4 anos,,,,,
zqb5pi1m3swfe6tzeydwzghzqb5kxodr,32,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Imobiliário/ Construção Civil,TRUE,Team Leader/Tech Leader,,,de R$ 20.001/mês a R$ 25.000/mês,de 7 a 10 anos,Mais de 10 anos,,,,,
zq4itpk2kgxbgr3fsezq4imcd1fe1e0o,18,Masculino,Parda,Não,TRUE,Paraná (PR),PR,Sul,Sudeste,Não tenho graduação formal,,Prefiro não informar,Outra Opção,FALSE,,Outra Opção,Júnior,Menos de R$ 1.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não utilizo nenhuma das linguagens listadas,Python,Microsoft Access,Não sei,Não sei opinar
zpt1ql0xnx7m9sm3lyugzpt1qi80egk1,29,Masculino,Branca,Não,TRUE,Distrito Federal (DF),DF,Centro-oeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Público,FALSE,,Cientista de Dados/Data Scientist,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 6 anos,de 3 a 4 anos,"SQL, Python, R",Python,"MySQL, SQL SERVER, PostgreSQL, SQLite","Amazon Web Services (AWS), Cloud Própria",Não sei opinar
zpr1ez4i5wmm6a6ocd3zpr1ez4iff895,24,Masculino,Preta,Não,TRUE,São Paulo (SP),SP,Sudeste,Nordeste,Estudante de Graduação,Química / Física,Estagiário,Marketing,FALSE,,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, R, Python",Python,Google BigQuery,Google Cloud (GCP),Google Cloud (GCP)
zpp4jvq3enc5fmgnhzpp4jvckgrsitp7,24,Masculino,Prefiro não informar,Não,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,FALSE,,Engenheiro de Machine Learning/ML Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,de 3 a 4 anos,"SQL, Python",Python,PostgreSQL,Servidores On Premise/Não utilizamos Cloud,Amazon Web Services (AWS)
zpmshqhzkm5y6ay6izdzpmshqzpxnzrs,46,Masculino,Branca,Não,TRUE,Paraná (PR),PR,Sul,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Outra Opção,TRUE,Supervisor/Coordenador,,,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Mais de 10 anos,,,,,
zpj4pkniryzv3cc4qr0zpj4prn18zi8k,29,Masculino,Branca,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,de 1 a 2 anos,"SQL, Python, Scala",Python,"Hive, Elaticsearch, Amazon Aurora ou RDS, SQL SERVER, Presto, S3, MySQL, Amazon Athena, DynamoDB, Amazon Redshift, PostgreSQL, Oracle",Amazon Web Services (AWS),Amazon Web Services (AWS)
zoxilju9s35wft7htczoxilj0ixdllc3,30,Feminino,Branca,Não,TRUE,Paraíba (PB),PB,Nordeste,,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Agronegócios,FALSE,,Cientista de Dados/Data Scientist,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,de 1 a 2 anos,"Python, SQL",Python,S3,Amazon Web Services (AWS),Amazon Web Services (AWS)
zof7ms11v1feomzof7msam4mgx2n1qjg,37,Feminino,Branca,Não,FALSE,,,,,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,FALSE,,Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Menos de 1 ano,"SQL, Python",Python,"SQL SERVER, MySQL, PostgreSQL, Google BigQuery","Amazon Web Services (AWS), Google Cloud (GCP)",Google Cloud (GCP)
zoeyrst0ekqey2hrzzoeyrra0g2oaixn,28,Masculino,Branca,Não,TRUE,Mato Grosso do Sul (MS),MS,Centro-oeste,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,FALSE,,Engenheiro de Machine Learning/ML Engineer,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",Python,"Splunk, Amazon Athena, Google BigQuery","Google Cloud (GCP), Amazon Web Services (AWS)",Google Cloud (GCP)
zoej8fuamnqbwjyy39zoejpo1jlajlwf,40,Masculino,Branca,Não,TRUE,Paraíba (PB),PB,Nordeste,Nordeste,Pós-graduação,Outras Engenharias,Empregado (CLT),Área de Consultoria,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,de 1 a 2 anos,"SQL, Python, Java",Python,"SAP HANA, DB2, Hive, Databricks, MySQL, Amazon Redshift, Google BigQuery, Amazon Athena, PostgreSQL, S3, Presto, SQL SERVER, MongoDB","Google Cloud (GCP), Azure (Microsoft), Amazon Web Services (AWS)",Google Cloud (GCP)
zo96wuabvry1e9gkvxzo96w0dcusyqa8,28,Masculino,Parda,Não,TRUE,São Paulo (SP),SP,Sudeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,FALSE,,Cientista de Dados/Data Scientist,Júnior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Menos de 1 ano,"Python, R",Python,S3,Amazon Web Services (AWS),Amazon Web Services (AWS)
